elu,parti_politique,degre,domaine,organisation
villiger,PRD,master,ingenieur,conseil_national
schobinger,PDC,master,architecture,conseil_national
pioda,PRD,master,droit,diete
leuthard,PDC,master,droit,conseil_national
kopp,PRD,master,droit,conseil_national
graber,PS,master,droit,conseil_national
gnagi,PAI,master,droit,conseil_national
druey,PRD,master,droit,diete
couchepin,PRD,master,droit,conseil_national
challet-venel,PRD,master,enseignement,conseil_national
bonvin,PDC,master,ingenieur,conseil_national
baume_schneider,PS,master,sciences_economique_sociale,conseil_des_etats
ador,PLS,master,droit,conseil_des_etats
calonder,PRD,dotorat,droit,conseil_des_etats
zemp,PDC,doctorat,droit,conseil_national
weber,PS,doctorat,economie,conseil_national
traugott_wahlen,PAI,doctorat,agriculture,conseil_des_etats
spuhler,PS,doctorat,economie,conseil_national
musy,PDC,doctorat,droit,conseil_national
merz,PRD,doctorat,politique,conseil_des_etats
egli,PDC,doctorat,droit,conseil_des_etats
chevallaz,PRD,doctorat,lettres,conseil_national
ogi,UDC,diplome_professionnel,commerce,conseil_national
obrecht,PRD,diplome_professionnel,enseignement,conseil_national
blocher,UDC,diplome_professionnel,agriculture,conseil_national
droz,PRD,apprentissage,graveur,conseil_des_etats
