id,personne_uri,nom_prenom,genre_uri,genre_code,annee_naissance,fk_parti_id
0,http://www.wikidata.org/entity/Q1447990,Franz Landolt,http://www.wikidata.org/entity/Q6581097,M,1901,0
1,http://www.wikidata.org/entity/Q122856,Joseph Ackermann,http://www.wikidata.org/entity/Q6581097,M,1901,1
2,http://www.wikidata.org/entity/Q125303,Dewet Buri,http://www.wikidata.org/entity/Q6581097,M,1901,2
3,http://www.wikidata.org/entity/Q1758783,Paul Schib,http://www.wikidata.org/entity/Q6581097,M,1901,3
4,http://www.wikidata.org/entity/Q120229,Robert Tobler,http://www.wikidata.org/entity/Q6581097,M,1901,4
5,http://www.wikidata.org/entity/Q120229,Robert Tobler,http://www.wikidata.org/entity/Q6581097,M,1901,5
6,http://www.wikidata.org/entity/Q120229,Robert Tobler,http://www.wikidata.org/entity/Q6581097,M,1901,6
7,http://www.wikidata.org/entity/Q62007471,Riccardo Rossi,http://www.wikidata.org/entity/Q6581097,M,1901,3
8,http://www.wikidata.org/entity/Q15621580,Jacques Chamorel,http://www.wikidata.org/entity/Q6581097,M,1901,7
9,http://www.wikidata.org/entity/Q121118,Gabriel Despland,http://www.wikidata.org/entity/Q6581097,M,1901,3
10,http://www.wikidata.org/entity/Q1283267,Ernst Rodel,http://www.wikidata.org/entity/Q6581097,M,1901,0
11,http://www.wikidata.org/entity/Q1290496,Eduard Zellweger,http://www.wikidata.org/entity/Q6581097,M,1901,0
12,http://www.wikidata.org/entity/Q1579473,Hans Fischer,http://www.wikidata.org/entity/Q6581097,M,1901,3
13,http://www.wikidata.org/entity/Q76341200,Jules Grandjean,http://www.wikidata.org/entity/Q6581097,M,1901,3
14,http://www.wikidata.org/entity/Q2501257,Urs Dietschi,http://www.wikidata.org/entity/Q6581097,M,1901,3
15,http://www.wikidata.org/entity/Q1292447,Fritz Grütter,http://www.wikidata.org/entity/Q6581097,M,1901,0
16,http://www.wikidata.org/entity/Q115622,Willy Spühler,http://www.wikidata.org/entity/Q6581097,M,1902,0
17,http://www.wikidata.org/entity/Q116107,Jean Bourgknecht,http://www.wikidata.org/entity/Q6581097,M,1902,3
18,http://www.wikidata.org/entity/Q119847,Jean Peitrequin,http://www.wikidata.org/entity/Q6581097,M,1902,3
19,http://www.wikidata.org/entity/Q125688,Alfred Borel,http://www.wikidata.org/entity/Q6581097,M,1902,3
20,http://www.wikidata.org/entity/Q62056059,Adolphe Graedel,http://www.wikidata.org/entity/Q6581097,M,1902,0
21,http://www.wikidata.org/entity/Q15438259,Arnold Gfeller,http://www.wikidata.org/entity/Q6581097,M,1902,8
22,http://www.wikidata.org/entity/Q70018386,Hans Rüegg,http://www.wikidata.org/entity/Q6581097,M,1902,9
23,http://www.wikidata.org/entity/Q1586125,Mario Agustoni,http://www.wikidata.org/entity/Q6581097,M,1902,3
24,http://www.wikidata.org/entity/Q23636365,René Villard,http://www.wikidata.org/entity/Q6581097,M,1902,0
25,http://www.wikidata.org/entity/Q99305266,Robert Bühler,http://www.wikidata.org/entity/Q6581097,M,1902,3
26,http://www.wikidata.org/entity/Q1492591,Gallus Berger,http://www.wikidata.org/entity/Q6581097,M,1903,0
27,http://www.wikidata.org/entity/Q121142,Alois Grendelmeier,http://www.wikidata.org/entity/Q6581097,M,1903,8
28,http://www.wikidata.org/entity/Q1079133,Christian Bühler,http://www.wikidata.org/entity/Q6581097,M,1903,9
